m0,m12,A0,tanbeta,tanbetaR,VR,signmuR,Ys,Yv,neutralino_mass,sneutrino_mass,gluino_mass,Cha1_mass,Mzp_mass,stau_mass,selectron_mass,stop_mass,sbottom_mass,smuon_mass,h1_mass,BtoXsgamma,Bstomumu,BRBtotaunu,DD,relic_density
2268.5,1727,-3528.5,19.685,1.0668,13798,-1,0.6313,0.28555,767.494173,1532.24323,3735.62134,1440.92395,4959.60258,2264.32097,2170.72345,3872.2708,3733.53275,2264.00292,124.876707,0.000314214334,3.22793782E-09,0.98987244,2.675E-12,40.7
1707.8,2248.9,-2538.9,7.291,1.0816,17872,1,0.72495,0.084254,1002.66854,1976.61284,4690.42246,1859.84758,6450.20753,1986.20084,1973.74,4362.74759,4170.27357,1986.15828,123.106319,0.000316735248,3.22576164E-09,0.991179287,6.499E-12,24.1
2834.2,771.65,-5485.7,25.912,1.0867,19198,-1,0.42595,0.091992,339.882057,2369.694,1866.24575,657.079566,6814.02125,2573.06689,2357.061,3230.50268,2922.81107,2564.49066,124.424466,0.000302930412,3.25504846E-09,0.988171988,1.189E-12,51.4
2532.6,2519.5,69.208,58.156,1.1002,18907,1,0.65517,0.12349,1131.08618,2209.48598,5253.22873,2092.32286,6827.46192,2743.28437,1608.53756,5121.45971,4906.75934,2220.0327,123.658806,0.000317338138,3.80470227E-09,0.997396355,8.966E-12,5.61
2460.9,2731.3,-1897.2,23.169,1.0534,19260,-1,0.62801,0.42636,1233.32007,2595.07778,5646.06145,2282.18398,6960.59411,2700.35649,2540.85274,5362.63908,5229.30126,2620.34987,125.074506,0.000315541105,3.2257305E-09,0.990014784,2.648E-12,42.1
2100.7,2257.2,695.94,36.054,1.0925,17813,-1,0.62451,0.18792,1004.89381,2146.50609,4732.25376,1864.20244,6423.35223,2302.00286,2052.19299,4539.18424,4351.52478,2163.55213,122.906062,0.000315395538,3.24912676E-09,0.9999956,9.046E-12,29.5
2802.1,2698.7,3706.3,32.078,1.1878,15982,-1,0.69482,0.011585,1210.01442,2783.93933,5600.3573,2223.22662,5784.47627,2976.79225,2734.9937,5501.69521,5233.75799,2799.32185,122.951776,0.000316084778,3.22328479E-09,0.987920419,1.279E-11,48.4
1630.6,2678.7,2016.3,33.058,1.0583,18077,1,0.67631,0.39788,1199.97592,2020.07474,5494.08461,2210.39354,6540.48576,2011.12097,1756.13069,4956.65016,4832.71025,2010.24614,123.138237,0.000316099637,3.23008258E-09,0.999218555,6.339E-12,21
2700.3,1680.1,-2499.3,15.087,1.1408,18817,1,0.57073,0.16635,745.880809,2443.73064,3676.61838,1401.26224,6755.89143,2485.89086,2440.86893,4113.16437,3774.53481,2485.73233,123.272523,0.000315068606,3.22401046E-09,0.99061478,4.309E-12,73.5
2913.3,2057.2,-6559.8,8.916,1.1879,15790,-1,0.663,0.184,924.278763,2694.71337,4405.76789,1726.68313,5679.51208,2727.8931,2693.6802,4729.19164,4394.18573,2727.77247,125.278549,0.000315246293,3.22542683E-09,0.999997462,1.7E-12,64.1
2539.6,1271.8,-2245.1,43.217,1.0769,18167,-1,0.627,0.42968,564.441686,1806.67531,2864.57088,1069.5775,6518.82239,2170.61898,1784.75345,3485.72283,3235.64221,2044.23818,122.318505,0.000310388907,3.30123926E-09,0.980095429,2.27E-12,53.8
2424.5,2666.7,-2824.4,37.09,1.0549,18789,-1,0.64419,0.41053,1205.18162,2337.9327,5520.29967,2231.46473,6789.55941,2635.34592,2081.85933,5258.7377,5119.43076,2361.80813,125.361176,0.000314871638,3.26538589E-09,0.999203582,2.097E-12,35.3
1096.6,2654.8,-1960.4,49.047,1.0294,17058,1,0.40987,0.23654,1078.46367,1735.35597,5433.87117,2197.31995,6160.69088,1538.75507,652.240065,4771.45204,4718.67213,1536.08164,122.53036,0.000316143567,3.59517731E-09,0.971957444,5.215E+032,0.0151
1254.1,944.65,-2678.9,20.807,1.036,15799,-1,0.62341,0.092809,408.005552,1130.9867,2133.62259,777.28427,5623.80005,1196.28397,1110.73713,2223.12366,2068.39362,1195.99454,123.291786,0.000306084294,3.26032529E-09,0.999996151,5.991E-12,13.8
1637.6,2764.5,-613.63,12.416,1.0258,14874,-1,0.46418,0.42897,1239.90536,1532.91297,5667.58803,2290.62499,5377.76553,1973.33351,1934.19972,5078.84374,5039.18704,1973.19595,123.158614,0.000316672579,3.21243687E-09,0.999997377,5.901E-12,22.7
2117.8,2934.2,-185.29,36.27,1.0908,12518,1,0.54365,0.33552,1321.55575,2290.0068,6009.20528,2437.3846,4532.03036,2444.90443,2069.72249,5508.70096,5425.36616,2443.65585,124.168855,0.00031569004,3.2489269E-09,0.986544071,4.447E-12,29.6
2581.6,2108,-5862.7,7.2971,1.0696,16956,-1,0.57831,0.11166,943.03873,2660.01027,4485.80179,1761.34002,6087.52302,2694.61229,2673.86264,4576.37852,4398.37004,2694.54009,124.377431,0.000315679905,3.2258442E-09,0.999997472,2.726E-12,49.1
1920.2,2147.2,-192.66,22.222,1.066,12701,1,0.5234,0.22046,953.071563,1977.79197,4517.61124,1772.53454,4579.17349,2131.94967,2019.74241,4279.11678,4199.46686,2131.55792,122.234132,0.000316022326,3.22044128E-09,0.999349984,8.94E-12,26.8
2768.8,2813.8,-924.2,35.753,1.0695,15818,-1,0.63081,0.05653,1266.80696,2143.0478,5824.18059,2341.80832,5718.7495,3029.60711,2588.15114,5623.62569,5503.49282,3001.23565,125.583569,0.000315301027,3.25750768E-09,0.999996196,5.999E-12,46.1
1427.1,2411.7,-1600.4,34.666,1.043,12776,-1,0.68759,0.27059,1076.58382,1671.34019,4984.37653,1995.64017,4618.44884,1744.78503,1373.95861,4483.35202,4418.58823,1743.53967,125.30609,0.000315328401,3.2871863E-09,0.984912168,4.672E-12,15.5
2848.8,1976.9,-3353.1,23.545,1.1051,18623,1,0.52133,0.25745,884.364443,2626.89756,4255.53656,1654.96512,6693.28556,2755.65953,2625.46758,4564.28547,4327.92373,2755.20611,124.554382,0.000314247023,3.22992369E-09,0.999386495,2.309E-12,63.8
2751,2237.4,-6905.8,9.2508,1.1606,14845,-1,0.56877,0.12817,1004.87851,2739.32539,4740.23923,1874.34708,5333.54969,2777.2836,2738.3447,4860.46176,4612.42148,2777.14688,125.31484,0.000315223796,3.22576665E-09,0.99999746,1.624E-12,54.3
1835.4,2918.3,4229.5,20.533,1.0749,18309,-1,0.51598,0.12129,1303.79629,2086.8592,5963.44046,2392.72773,6614.88997,2243.08672,2094.50505,5395.66051,5256.06072,2242.56934,122.903617,0.000316835934,3.21633313E-09,0.99940268,1.164E-11,27
2758.4,1375.2,903.59,52.05,1.0784,16592,1,0.68488,0.24565,605.92736,2124.82117,3075.83102,1142.26759,5965.9901,2583.35913,2035.82011,3753.74495,3523.81491,2160.36884,122.279233,0.000312814485,3.34737199E-09,0.964747822,1.144E-11,45.4
