m0,m12,A0,tanbeta,tanbetaR,VR,signmuR,Ys,Yv,neutralino_mass,sneutrino_mass,gluino_mass,Cha1_mass,Mzp_mass,stau_mass,selectron_mass,stop_mass,sbottom_mass,smuon_mass,h1_mass,BtoXsgamma,Bstomumu,BRBtotaunu,DD,relic_density
2896.5,2061.6,1377,53.172,1.0557,15478,1,0.54718,0.010563,916.011868,1110.90455,4415.51721,1682.06338,5574.17454,3045.09941,2017.51263,4673.69328,4560.33731,2627.23719,123.644149,0.000318141718,3.54822313E-09,0.953988714,2.864E-11,0.284
2896.6,2067.3,1370.8,53.675,1.0699,15462,-1,0.56047,0.026303,918.230446,1156.18724,4425.74159,1692.46204,5569.16892,3054.81571,2003.13633,4685.25109,4555.05876,2594.00029,123.766822,0.000318123101,3.55491839E-09,0.997198652,2.775E-11,0.291
2896.4,2065.7,1375.2,52.769,1.06,15477,1,0.55501,0.019387,917.995356,1477.00809,4423.19278,1687.64337,5574.64384,3048.35342,2042.48634,4680.04092,4560.8769,2627.57886,123.329669,0.000317792133,3.51580955E-09,0.956678626,2.748E-11,0.577
2896.7,2068.3,1366.7,53.25,1.0702,15452,-1,0.56376,0.032742,918.730685,1134.60942,4427.6666,1693.98064,5565.68195,3055.12506,2026.32369,4686.6372,4555.62335,2601.23961,123.399783,0.000317847799,3.52655785E-09,0.997336449,2.725E-11,0.505
2898.2,2072.1,1367.1,53.373,1.0739,15453,-1,0.56085,0.028524,920.500576,1532.03355,4435.00793,1697.57336,5566.58461,3056.03845,2023.11531,4693.26577,4559.13655,2596.71507,123.611497,0.000317869952,3.53031917E-09,0.955454971,2.685E-11,0.468
2899.9,2071.7,1368.3,53.067,1.0609,15450,1,0.57208,0.028437,920.986495,1209.60432,4434.32813,1694.36633,5565.52059,3054.14783,2032.58054,4690.48037,4567.08141,2619.36097,123.555557,0.000317850636,3.52727026E-09,0.999987208,2.674E-11,0.461
2813.2,1984.9,2051.8,55.056,1.1077,14333,-1,0.49495,0.12365,879.213325,2407.74896,4261.87138,1631.48863,5162.34413,2920.54111,1835.03797,4532.10842,4385.01511,2413.20384,122.438928,0.000318379319,3.52999397E-09,0.949303714,2.472E-11,0.58
1759.4,1558.6,-82.024,59.973,1.0811,13751,1,0.70779,0.13239,685.734135,1421.46209,3371.55204,1284.06447,4949.36938,1831.21216,1005.25026,3368.1338,3212.26316,1436.24112,122.201106,0.000316324259,5.16221088E-09,0.994105168,2.438E-11,0.724
1997.4,1818.3,511.25,57.89,1.0659,16564,1,0.70546,0.10845,804.275084,1699.10749,3886.18809,1498.48392,5967.41459,2113.41711,1263.32987,3858.26407,3691.43621,1707.88389,122.869097,0.000317170056,4.2035099E-09,0.932654424,1.983E-11,0.945
1999.9,1814.3,511.11,57.673,1.0691,16568,-1,0.71129,0.11683,802.340387,1689.21091,3878.05901,1495.56714,5970.31105,2105.46949,1277.13935,3854.8484,3682.66606,1700.13126,122.888866,0.000316896635,4.13375211E-09,0.996079222,1.956E-11,0.408
1654.4,2265.6,1890,58.467,1.0656,17316,-1,0.72979,0.077562,1006.14808,1645.51019,4712.62019,1858.13841,6257.98279,1962.27839,1020.59145,4355.12047,4204.29645,1660.19135,122.762658,0.000319104267,4.02427559E-09,0.940644763,1.887E-11,0.47
2002.7,1815.3,514.1,57.903,1.0721,16568,1,0.71929,0.11353,803.287077,1674.88064,3879.74206,1496.5779,5971.70874,2096.31986,1274.57566,3858.75895,3678.11107,1685.02984,122.763234,0.000316815968,4.14025982E-09,0.935143437,1.884E-11,0.394
1658.5,2264.4,1892.9,58.097,1.0658,17311,1,0.723,0.06975,1005.47141,1652.231,4712.15349,1856.79101,6253.95434,1964.49957,1031.09121,4356.04361,4204.93676,1665.26611,122.528054,0.000318973495,3.98308634E-09,0.996521017,1.833E-11,0.73
1908.8,2104.5,1978.9,54.301,1.0803,13538,-1,0.61439,0.17163,931.109903,1837.0271,4427.29758,1727.17799,4882.79593,2134.0631,1277.27688,4217.7948,4102.47114,1849.7543,122.794544,0.000317994242,3.65251905E-09,0.999986164,1.822E-11,0.791
1912.8,2098.6,1978.4,53.995,1.0844,13528,-1,0.60249,0.1672,928.316697,1839.27862,4416.71412,1722.15219,4878.4828,2138.33116,1295.40597,4211.88392,4094.03225,1851.59575,122.65942,0.000317892465,3.63228816E-09,0.999986464,1.822E-11,0.481
1981.6,1874.9,410.41,55.125,1.0914,13182,-1,0.69903,0.11196,829.51019,1793.22744,3994.29239,1545.25314,4754.30214,2154.8379,1364.42412,3926.05042,3784.97721,1804.78563,123.00018,0.000316696102,3.91260069E-09,0.944822113,1.814E-11,0.506
1981,1874.8,413.71,54.68,1.0901,13181,-1,0.70478,0.10886,829.713619,1800.50502,3993.05167,1545.18913,4754.95629,2154.81423,1382.69077,3924.56841,3783.54749,1811.89997,123.056116,0.000316552157,3.87041622E-09,0.999984466,1.806E-11,0.728
1981,1874.2,409.71,54.627,1.0817,13172,1,0.7083,0.10864,829.93161,1813.29442,3992.014,1544.52989,4751.73474,2162.05587,1381.75085,3922.02571,3786.64043,1822.78216,123.158432,0.000316608568,3.88291026E-09,0.999984363,1.759E-11,0.624
1979.3,1878,411.32,54.611,1.0915,13186,1,0.71154,0.11147,831.961682,1795.1838,3998.24046,1548.09924,4757.8121,2147.35995,1388.1164,3928.04684,3782.61724,1805.53988,122.946812,0.00031642672,3.85501345E-09,0.947759636,1.702E-11,0.987
2457.8,2470.7,2245.3,51.388,1.0586,16536,-1,0.52364,0.10707,1101.13421,1222.33835,5158.5056,2027.87637,5964.56556,2685.46691,1778.65307,4993.89273,4885.90505,2438.62564,123.747562,0.000317601305,3.43215237E-09,0.9999905,1.674E-11,0.645
2453.5,2467.6,2239.2,51.331,1.0632,16516,-1,0.50692,0.10834,1099.66058,1818.64452,5152.71868,2025.88382,5957.84714,2682.91215,1782.08157,4988.49759,4877.61763,2430.62351,123.555188,0.00031754938,3.42264909E-09,0.998051176,1.654E-11,0.552
2461.8,2468.2,2246.6,51.524,1.0621,16536,-1,0.52074,0.11038,1100.04806,1603.71438,5154.0455,2026.61355,5965.01352,2690.95372,1778.23043,4993.15071,4881.46581,2431.35629,123.660367,0.000317580927,3.4271064E-09,0.998030275,1.652E-11,0.574
2457.5,2471.1,2248.1,51.232,1.0604,16541,-1,0.51298,0.11035,1101.29082,1517.42097,5159.46242,2028.64383,5966.64865,2685.72922,1786.57111,4994.65637,4886.0438,2439.22107,123.666549,0.000317538445,3.41968895E-09,0.96771144,1.652E-11,0.551
